,2d_x,2d_y,periodic_#_2d,bond_1_2d,bond_2_2d,bond_3_2d,3d_x,3d_y,3d_z
0,1.33,0.0,6,1,0,0,1.4305,0.0,0.0
1,0.0,0.0,6,4,0,0,0.0001,0.0023,0.0041
2,0.0,-1.33,6,1,0,0,-0.4605,-0.7373,-1.2819
3,-0.0,1.33,6,1,0,0,-0.485,1.4782,0.0
4,-1.33,-0.0,8,1,0,0,-0.485,-0.7433,1.2777
0,3.0858,0.0,8,0,1,0,3.1673,0.0,0.0
1,2.0034,-0.7724,6,1,1,0,-1.3669,-2.6299,0.0536
2,0.7917,-0.2191,6,2,1,0,0.4452,-0.5868,-0.0451
3,0.6655,1.1023,6,1,1,0,-0.903,-0.396,-0.0573
4,-0.5462,1.6555,6,1,1,0,-1.3873,0.9321,0.0
5,-1.6286,0.883,6,1,1,0,-0.4722,1.9996,0.0765
6,-1.4992,-0.4426,6,2,1,0,0.911,1.7482,0.0822
7,-0.2907,-0.9916,7,1,1,0,1.3567,0.4165,0.0149
8,-2.5817,-1.2151,5,1,0,0,-1.7506,-1.4835,-0.1248
0,-2.8095,-2.112,8,0,1,0,2.4618,-1.2923,2.1823
1,-2.2721,-0.8946,6,2,1,0,-1.9357,0.0247,0.2041
2,-3.0672,0.1725,6,2,1,0,0.8695,-0.426,0.9073
3,-2.5309,1.4004,6,1,1,0,-3.3095,0.2284,-0.2191
4,-3.326,2.4675,6,1,1,0,-0.9201,0.9982,0.0
5,-4.648,2.3184,6,1,1,0,-1.4839,-1.1542,0.8606
6,-5.1749,1.1022,6,1,1,0,0.4251,0.796,0.3567
7,-4.3892,0.0234,6,1,1,0,-0.1354,-1.3771,1.203
8,-0.9501,-0.7455,6,2,1,0,2.2282,-0.683,1.1435
9,-0.1655,-1.8138,6,1,1,0,3.3175,-0.3214,0.3214
10,1.1565,-1.6647,6,1,1,0,-4.3718,-0.6453,0.1518
11,1.694,-0.4473,6,2,1,0,-3.7069,1.3177,-1.0487
12,0.8989,0.6197,6,1,1,0,4.6591,-0.3977,0.7882
13,-0.4231,0.4707,6,1,1,0,3.1572,0.1253,-1.0194
14,3.016,-0.2982,6,2,1,0,-5.7091,-0.4472,-0.2431
15,3.8006,-1.3665,6,1,1,0,-5.0383,1.5448,-1.4449
16,5.1226,-1.2174,6,1,1,0,-6.0444,0.6583,-1.0375
17,5.66,-0.0,6,1,1,0,5.7564,0.0,0.0
18,4.865,1.067,6,1,1,0,4.2384,0.5548,-1.8102
19,3.5429,0.9179,6,1,1,0,5.5423,0.4959,-1.2957
0,1.5285,2.0572,7,1,0,0,1.7844,1.8898,-0.0
1,1.4506,0.7308,6,2,1,0,-2.2706,-0.9609,-0.0253
2,2.563,0.0,8,0,1,0,2.681,0.0,0.0
3,0.2641,0.1327,6,2,1,0,0.3085,0.1286,0.0171
4,0.19,-1.1963,6,1,1,0,0.0951,-1.2724,-0.0814
5,-1.0003,-1.792,6,1,1,0,-0.8462,0.9499,0.1049
6,-2.1127,-1.0611,7,1,1,0,1.5911,0.6813,0.0103
7,-2.0348,0.2653,6,1,1,0,-1.2091,-1.7989,-0.1045
8,-0.8483,0.8635,6,1,1,0,-2.1342,0.3828,0.0789
0,-0.437,2.1377,6,1,1,0,-0.0385,1.9723,-0.0
1,0.6868,1.4231,6,1,1,0,-2.6274,1.3273,0.0036
2,0.6327,0.0937,6,2,1,0,2.8327,-0.7488,0.4961
3,-0.5453,-0.5212,6,2,1,0,2.4728,1.0127,-0.4896
4,-1.6694,0.1875,6,2,1,0,0.6256,-0.2681,-0.0038
5,-1.6153,1.5169,6,1,1,0,-0.3665,0.7532,-0.0094
6,-2.8474,-0.4275,8,1,0,0,-1.7443,0.4285,-0.0028
7,-0.5994,-1.8507,8,1,0,0,0.1817,-1.6153,-0.0001
8,1.7568,-0.615,6,2,1,0,-2.1468,-0.9198,0.0031
9,1.7027,-1.9445,8,0,1,0,-1.1844,-1.9422,0.0029
10,2.9348,-0.0,8,1,0,0,1.9952,0.0,0.0
0,2.66,0.0,8,1,0,0,1.48,0.0,0.0
1,1.3306,0.001,6,2,1,0,0.7438,-1.2177,0.0
2,0.6644,1.1515,6,1,1,0,-0.6823,-1.1282,0.0
3,-0.665,1.1525,6,1,1,0,-1.4239,0.0932,-0.0
4,-1.3306,-0.001,6,2,1,0,-0.6873,1.3107,-0.0
5,-0.6644,-1.1515,6,1,1,0,0.739,1.2219,-0.0
6,0.665,-1.1525,6,1,1,0,1.3862,2.292,-0.0
7,-2.66,0.0,6,1,0,0,-1.5555,-2.5719,0.0
0,-0.2614,-2.6602,6,1,0,0,1.4169,2.1939,-0.0
1,-0.2618,-1.3278,7,3,0,0,1.5824,-2.3073,0.0
2,0.8887,-0.6668,6,2,1,0,-0.3939,-1.338,0.0
3,0.8883,0.6656,6,2,1,0,1.6117,-0.0738,0.0
4,-0.2626,1.3315,6,2,1,0,-1.4243,1.9988,-0.0
5,-1.4186,0.6649,7,3,0,0,-2.4246,0.0399,-0.0
6,-2.5695,1.3308,6,1,0,0,-1.0977,-0.1882,0.0
7,-1.4182,-0.6675,6,2,1,0,-0.4704,1.0553,-0.0
8,-2.5687,-1.3285,8,0,1,0,0.9142,1.0754,-0.0
9,-0.2629,2.6584,8,0,1,0,0.9495,-1.2535,0.0
10,2.1546,1.0734,7,1,1,0,-1.0891,-2.5715,0.0
11,2.9367,0.0,6,1,1,0,3.0341,0.0,0.0
12,2.1552,-1.0738,7,2,0,0,-2.6086,1.3691,-0.0
0,3.033,-2.0905,8,1,0,0,-2.3032,-3.0373,0.3774
1,2.9191,-0.7615,6,2,1,0,2.4355,-1.7463,-0.0703
2,4.0046,0.0,8,0,1,0,3.0889,0.0,0.0
3,1.7122,-0.2078,6,2,1,0,0.818,3.4423,0.1411
4,1.5982,1.1212,6,1,1,0,2.3507,2.3722,0.0986
5,0.3873,1.6807,6,1,1,0,-3.6431,-1.7676,-0.5389
6,-0.6982,0.9191,6,2,1,0,2.1047,-0.619,-0.0254
7,-0.5786,-0.4059,6,2,1,0,1.1878,2.3276,0.0946
8,0.6266,-0.9694,6,1,1,0,0.8247,-0.1552,-0.0079
9,-1.6698,-1.1715,7,2,1,0,0.3986,1.2216,0.046
10,-2.875,-0.608,8,1,0,0,-1.5792,-0.895,-0.0427
11,-1.5502,-2.4965,8,0,1,0,-0.191,-1.1559,-0.0491
12,-1.8995,1.4769,7,2,1,0,-1.0036,1.473,0.0483
13,-2.0191,2.8019,8,1,0,0,-1.966,0.4564,-0.0
14,-2.9907,0.7113,8,0,1,0,-2.5227,-1.9169,-0.0719
0,-1.4698,-2.1185,6,1,1,0,-0.3992,-2.8031,0.0
1,-0.2177,-2.5692,6,1,1,0,-1.7212,2.2455,0.0
2,0.7959,-1.7178,6,1,1,0,0.384,-0.6404,0.0
3,0.5611,-0.4056,6,2,1,0,0.0201,0.7438,0.0
4,-0.6909,0.0451,6,2,1,0,-0.6426,-1.6027,0.0
5,-1.7082,-0.8164,6,1,1,0,-1.3457,1.0797,0.0
6,-0.9276,1.3522,6,2,1,0,1.757,-0.9891,0.0
7,0.0897,2.2137,6,1,1,0,1.0422,1.724,0.0
8,1.3418,1.7629,6,1,1,0,-1.9534,-1.2088,0.0
9,1.5766,0.4507,6,2,1,0,-2.2947,0.0944,0.0
10,2.8287,0.0,8,0,1,0,2.7554,0.0,0.0
11,-2.1796,1.8029,8,0,1,0,2.398,1.3568,0.0
0,-0.5242,-1.6265,8,2,0,0,1.5018,0.7126,0.0
1,-2.6827,-2.4356,8,0,1,0,-2.6685,2.7619,0.0
2,3.775,0.0,8,1,0,0,3.5018,0.0,0.0
3,-0.15,0.6587,6,2,1,0,-0.389,-0.6635,0.0
4,0.3224,-0.6014,6,2,1,0,0.5016,-1.7734,0.0
5,-1.4772,0.8762,6,2,1,0,0.2184,0.6305,0.0
6,-1.8466,-1.4219,6,2,1,0,-1.8055,-0.709,0.0
7,1.6359,-0.8019,6,1,1,0,-0.5522,1.8092,0.0
8,-2.285,-0.1343,6,1,1,0,1.8388,-1.5349,0.0
9,0.6983,1.6991,6,1,1,0,0.0851,-3.1753,0.0
10,2.4745,0.2053,6,2,1,0,-2.5803,0.4653,0.0
11,2.002,1.4655,6,1,1,0,-1.9572,1.7262,0.0
12,-1.9424,2.1169,6,1,0,0,2.3053,-0.2496,0.0
0,4.8017,-0.0,8,1,0,0,4.6635,0.0,0.0
1,3.8298,-0.906,6,2,1,0,3.3719,0.7708,0.2897
2,4.1293,-2.1983,8,0,1,0,3.5889,2.2605,0.0
3,2.5583,-0.5199,6,3,0,0,2.956,0.5959,1.7564
4,2.2567,0.7813,6,2,0,0,2.3411,0.35,-0.6472
5,0.9853,1.1674,6,2,0,0,1.6019,-0.7635,-0.3597
6,0.0154,0.2524,7,3,0,0,2.1168,-1.8738,-0.2465
7,0.3148,-1.0399,6,2,0,0,0.215,-0.5103,-0.3269
8,1.5863,-1.426,6,2,0,0,-0.6472,-1.6647,-0.071
9,-1.2581,0.6475,6,2,1,0,-2.1133,-1.4072,-0.4029
10,-1.5576,1.9397,8,0,1,0,-2.627,-0.1304,0.2724
11,-2.2281,-0.2675,8,2,0,0,-1.7287,1.0385,-0.1514
12,-3.5016,0.1275,6,4,0,0,-0.2697,0.7689,0.2018
13,-4.4715,-0.7875,6,1,0,0,-4.0823,0.1866,-0.0388
14,-2.8959,1.3081,6,1,0,0,-4.8073,-0.9234,-0.314
15,-4.5649,0.9213,6,1,0,0,-4.5795,1.3023,0.038
0,-1.5105,2.5178,16,0,1,0,-4.3048,0.7263,-0.0
1,-1.1334,1.2395,6,2,1,0,-2.7774,0.9181,0.0001
2,-2.0472,0.2766,7,2,0,0,-2.0882,-0.459,-0.0001
3,0.1589,0.93,7,2,0,0,-0.597,-0.2814,-0.0
4,0.5374,-0.3425,6,2,1,0,-0.0732,0.9437,-0.0002
5,1.8356,-0.6534,6,2,0,0,1.3746,1.1175,-0.0001
6,2.7495,0.3095,6,2,0,0,1.8649,2.2521,-0.0004
7,4.0418,-0.0,6,1,0,0,2.1988,0.0,0.0
8,-0.3779,-1.3112,6,1,1,0,1.6267,-1.2691,0.0001
9,-1.6702,-1.0017,6,2,1,0,2.5403,-2.5391,0.0004
10,-2.584,-1.9646,8,0,1,0,0.2354,-1.4091,0.0002
0,-3.0062,0.0913,8,1,0,0,0.5816,2.1565,-0.0
1,-1.7052,-0.1808,6,2,1,0,2.5671,0.4008,-0.0
2,-1.2876,-1.4427,6,1,1,0,2.0379,-2.2273,0.0
3,0.0134,-1.7146,6,1,1,0,-3.2945,1.0403,-0.0
4,0.8999,-0.7213,6,2,1,0,-1.0491,0.4783,-0.0
5,2.2011,-0.9933,6,1,1,0,0.3015,0.9253,-0.0
6,3.0876,0.0,8,0,1,0,1.3724,0.0,0.0
7,0.4825,0.5406,6,2,1,0,1.1056,-1.3841,0.0
8,1.3691,1.5339,8,1,0,0,-1.2829,-0.92,0.0
9,-0.8186,0.8125,6,2,1,0,-0.2227,-1.8413,0.0
10,-1.2361,2.0745,8,1,0,0,-2.1169,1.3714,-0.0
0,-1.33,0.0,6,2,1,0,-2.1936,-0.1161,-0.8746
1,-1.995,-1.1518,6,1,1,0,2.2004,0.0131,0.8499
2,-1.33,-2.3036,6,1,1,0,-0.2555,-2.0433,-1.4638
3,-0.0,-2.3036,6,1,1,0,0.8922,-2.3329,0.213
4,0.665,-1.1518,6,2,1,0,0.0301,-0.2223,-0.066
5,-0.0,-0.0,6,2,1,0,-1.1914,0.4565,-0.3445
6,-1.995,1.1518,8,2,0,0,1.0508,0.5007,0.6156
7,-1.33,2.3036,6,1,0,0,-1.358,1.8155,0.0
8,0.665,1.1518,6,2,1,0,0.8377,1.8304,1.0376
9,1.9951,1.1518,8,1,0,0,-0.3546,2.4935,0.7088
10,-0.0,2.3036,8,0,1,0,0.2221,-1.5516,-0.4461
11,1.995,-1.1518,8,2,0,0,-3.1142,-0.8434,-0.2298
12,2.66,0.0,6,1,0,0,3.234,0.0,0.0
0,-3.3253,1.8726,6,1,1,0,-0.0812,-0.5906,1.8695
1,-3.7375,0.61,6,1,1,0,-0.7477,2.1421,-0.8124
2,-2.8499,-0.3797,6,1,1,0,-3.4662,-3.2491,0.316
3,-1.55,-0.1067,6,2,1,0,-1.0434,0.0378,-0.1825
4,-1.1328,1.1604,6,1,1,0,1.2205,1.145,-0.3127
5,-2.0205,2.15,6,1,1,0,-0.1836,1.119,-0.4357
6,-0.6624,-1.0964,6,2,1,0,-0.916,-0.8108,0.9527
7,0.6375,-0.8234,6,2,1,0,-2.105,-0.2481,-1.082
8,1.5251,-1.8131,6,1,1,0,-1.7366,-1.9458,1.111
9,2.8299,-1.5356,6,1,1,0,-2.9519,-1.3579,-0.9079
10,3.2422,-0.273,6,2,1,0,1.946,2.3691,-0.3336
11,2.3546,0.7167,6,1,1,0,2.0018,-0.0347,-0.1774
12,1.0547,0.4437,6,2,1,0,-2.7489,-2.2279,0.1779
13,0.167,1.4333,8,1,0,0,3.3447,2.4198,-0.1827
14,4.542,0.0,8,1,0,0,3.3977,0.0,0.0
15,-1.0746,-2.359,8,0,1,0,4.0699,1.2321,0.0
0,3.3927,-0.0,8,1,0,0,2.7158,0.0,0.0
1,2.0664,0.115,6,2,1,0,-0.3438,3.4322,-0.0
2,1.501,1.3189,6,1,1,0,0.4477,-0.581,0.0
3,0.1772,1.4286,6,2,1,0,-0.9007,-0.1112,0.0
4,-0.3882,2.6325,8,1,0,0,1.5087,0.3604,-0.0
5,-0.5837,0.3398,6,2,1,0,-1.158,1.2761,-0.0
6,-1.9075,0.4495,6,1,1,0,0.6777,-1.9775,0.0
7,-2.6684,-0.6394,6,1,1,0,-1.9702,-1.0359,0.0
8,-2.1029,-1.8433,6,1,1,0,-0.0981,2.2012,-0.0
9,-0.7766,-1.9583,6,1,1,0,1.2312,1.7419,-0.0
10,-0.0182,-0.8642,6,2,1,0,-0.3934,-2.8886,0.0
11,1.3081,-0.9791,6,1,1,0,-1.7167,-2.4175,0.0
0,3.7078,0.0,6,1,0,0,3.0354,0.0,0.0
1,2.3829,-0.1027,8,2,0,0,1.7988,1.552,0.7866
